landcover_propforest,landcover_prophighshrub,landcover_proplowshrub,landcover_propreed,landcover_propsaltmarsh,landcover_propswamp,lidar_C_ppr,lidar_HH_reedveg_prop,lidar_HH_sd,lidar_HH_sd_low,lidar_VD_1_2,lidar_VD_2_3,lidar_VV_kurt,lidar_VV_p25,lidar_VV_std,optical_NDVImed,optical_NDVIsd_hor_100m,optical_NDVIstd,radar_VHsd_hor_100m,radar_VHstd,radar_VVmax,radar_VVstd,occurrence,x,y
0,0,0,0,0,0,0.999349833,0,0.159805596,0.159805596,0,0,-3,0.163000003,0,0.788104713,0.014394068,0.128406718,0.540706873,2.486535549,-9.816479683,2.199300766,0,189241.8731,502443.2357
260.5270081,0,0,42.95399857,0,0,0.588789463,1,5.775054932,1.881202102,0.01489118,0.120274916,-0.954531133,3.154999971,3.643841267,0.584445834,0.067550287,0.149420708,0.862584233,2.362976313,-4.325835228,1.747087955,0,275908.2005,571584.0952
85.32800293,3652,2577.409912,292.618988,0,2954.291016,0.391453832,29,3.142097712,1.264462352,0.235673934,0.188861981,-0.946678579,1.731999993,1.825571537,0.504083812,0.07649897,0.143664375,2.14443779,1.726210594,-5.843369007,2.369064569,0,190453.9344,533475.4184
0,0,0,0,0,0,0.54791975,9,5.87454319,1.463845849,0.003286771,0.023829088,-0.846897542,4.697000027,2.11545682,0.632601202,0.091764294,0.093138561,1.189031839,2.275080919,-4.053145885,2.005316734,0,238887.3722,534448.8212
262.1679077,0,0,0,0,0,0.555910528,30,2.581398726,1.090947747,0,0,-0.317176223,0.147499993,0.097713776,0.282521099,0.162754104,0.111119084,1.686298728,2.695863247,-11.47428608,2.251228333,0,267468.47,575084.5795
0,0,0,0,0,0,0.654713094,25,2.623345375,1.523037195,0.160237387,0.258160233,-1.074949145,0.31400001,1.395195961,0.568596065,0.04425358,0.061271124,1.156060576,2.118364573,-8.086978912,1.800276995,0,267628.8998,522465.7285
0,0,0,0,0,3566.150635,0.912429392,0,0.074952424,0.074952424,0,0,3.972181082,0.177000001,0.059686899,0.496743441,0.077939585,0.040021587,1.034458756,2.55518651,-7.967375278,2.335290909,0,269630.0224,559639.1912
0,0,0,0,0,0,0.669336379,0,0.056503598,0.056503598,0,0,1.609191656,0.167999998,0.093874604,0.563459098,0.029173126,0.128215045,0.744857371,2.717266321,-8.029540062,2.400929451,0,228702.282,548612.0357
43.20199966,0,0,0,0,0,0.914691925,1,4.316069603,0.282920569,0,0,4.060081005,0.141249999,0.053686317,0.685670912,0.019550417,0.045725893,1.677226424,2.314022541,-7.155060768,2.205889225,0,243310.7533,560795.4496
129.6060028,0,0,0,0,0,0.997252762,22,0.674162745,0.674162745,0,0,-2,0.811749995,0.0275,0.528716981,0.060627501,0.106651403,0.724857092,2.39094758,-9.227626801,2.522817373,0,170590.2904,444478.3099
