landcover_propforest,landcover_prophighshrub,landcover_proplowshrub,landcover_propreed,landcover_propsaltmarsh,landcover_propswamp,lidar_C_ppr,lidar_HH_reedveg_prop,lidar_HH_sd,lidar_HH_sd_low,lidar_VD_1_2,lidar_VD_2_3,lidar_VV_kurt,lidar_VV_p25,lidar_VV_std,optical_NDVImed,optical_NDVIsd_hor_100m,optical_NDVIstd,radar_VHsd_hor_100m,radar_VHstd,radar_VVmax,radar_VVstd,occurrence,x,y
128.8619995,0,0,128.8619995,0,0,0.99712646,4,10.79982471,1.387436748,0,1,-0.76112175,2.443500042,0.230195969,0.707262814,0.050056227,0.116257109,2.657156229,2.195308208,-5.759315014,1.794867396,0,262359.9398,482242.9112
0,0,0,0,0,4961,0.915151536,18,0.72832793,0.72832793,0,0,5.094921112,0.140249997,0.079141229,0.573931575,0.037283722,0.08995872,0.626669228,2.861362696,-8.963381767,2.147859573,0,209688.7698,538938.9063
0,0,0,0,0,0,0.96198523,11,0.302059591,0.302059591,0,0,-0.791012466,0.184,0.103588693,0.641714513,0.031154415,0.04086579,0.538586795,2.463531017,-10.46603298,2.218375683,0,203948.3107,513732.5776
129.6060028,0,0,0,91.44000244,0,0.922336757,2,2.016218901,0.969366193,0,0,2.195285559,0.151999995,0.069396257,0.644738436,0.020771643,0.084469557,0.761258543,2.130988836,-6.530641556,2.591118574,0,244996.0348,579829.0151
0,4980.681152,1288,0,0,2009,0.510673225,37,4.467379093,0.906035304,0.077181205,0.098993286,-0.970539272,0.304500014,2.290541887,0.610795915,0.167293817,0.144282803,2.346509695,2.117283583,-7.404898643,1.959596276,0,207547.5431,596147.9784
42.48597717,1660,0,209.2119751,0,4182.990234,0.934511423,49,3.522082806,1.186356068,0.746031761,0.095238097,1.056905031,1.180999994,0.61974138,0.58174175,0.046926711,0.139087602,1.908243895,2.495332718,-9.253216743,2.118535519,0,202685.1499,527486.5509
43.51460266,0,0,0,0,0,0.93072015,15,6.1677742,0.76949507,0.039473683,0,0.890859962,0.211250007,0.281689852,0.6833601,0.042216472,0.045692664,1.556332231,2.593182087,-7.312186241,2.275110722,0,229191.6089,500412.4524
172.7980804,0,0,0,0,0,0.982200623,2,4.541159153,1.46519959,0,0,-3,0.138999999,0,0.649048567,0.068561085,0.113788523,1.21509409,2.479295015,-5.694106579,2.419192076,0,261380.142,570607.5284
86,2656,0,127.8840027,0,1474.723389,0.743068397,8,3.948562384,1.593071699,0.103117503,0.12230216,-0.937785447,1.68599999,2.546144247,0.444403291,0.069715634,0.160124391,1.25898397,1.950137973,-7.170431137,1.789450765,0,191855.6003,535637.1158
0,0,0,0,0,0,0.716872454,11,4.929533005,1.2431885,0.002906977,0,8.564171791,0.17475,0.121225588,0.469899088,0.137913242,0.150218338,2.236396313,2.967946291,-8.083953857,2.321198463,0,192389.5752,520418.4824
0,0,0,0,0,0,0.997433722,0,0.154338852,0.154338852,0,0,-1.5,0.338499993,0.073721699,0.216556013,0.038246777,0.17868866,0.631877363,3.423436403,-1.710795522,3.066558599,0,266612.3396,525480.1668
0,0,0,0,0,0,0.999263644,0,0.083133928,0.083133928,0,0,-3,0.123999998,0,0.690533638,0.021427022,0.049844317,0.532991588,2.597501993,-4.955152988,2.427088499,0,217449.651,531025.419
129.6060028,0,0,0,119.8005753,2296,0.592733204,50,0.955192983,0.955192983,0.470039934,0.073235683,-1.06378603,0.414999992,0.651349783,0.663985014,0.052001234,0.08832448,0.606494427,2.260545015,-5.946755409,2.726554394,0,248055.1163,560767.1159
0,0,0,0,0,4464.407227,0.668796599,64,0.619125247,0.619125247,0.424437284,0.022508038,-1.20323503,0.407000005,0.571620047,0.557369828,0.046040867,0.051150635,0.416555822,2.484235764,-5.774341583,2.873081684,0,240868.9131,527918.7375
0,0,0,0,0,0,0.374784112,0,0.163747862,0.163747862,0.03846154,0,7.827555656,0.0845,0.323369056,0.486971349,0.059574351,0.113174684,0.747719049,2.537572384,-7.915980339,2.228489399,0,141086.8247,490611.0638
218.176651,0,0,0,0,0,0.394518286,12,7.706265926,1.690052509,0.309322029,0.012711864,-0.186324731,0.322750002,0.487047881,0.734402061,0.034819305,0.108171731,1.394601941,2.575835705,-3.8602736,2.379692316,0,162340.685,478937.5239
43.75999832,0,0,289.9719849,122.6808624,1437.971924,0.900948346,48,4.226877213,1.190841913,0.382978737,0.021276595,-1.032284141,0.270000011,0.629257202,0.520542979,0.101793803,0.110672645,1.592167854,2.542815208,-7.541566372,2.134377003,0,197265.7137,533013.9546
0,0,0,0,0,0,0.977289379,0,0.127244055,0.127244055,0,0,-0.606937289,0.1215,0.024769153,0.664505839,0.023453284,0.093855903,0.432445526,2.504511595,-7.23061657,2.732380629,0,246818.2639,582345.0905
217.5279999,0,0,0,0,0,0.998278856,3,8.49343586,1.387894392,0,0,-1.5,0.123999998,0.019703355,0.681609035,0.031347595,0.178517073,2.474185228,2.32828784,-5.725147247,2.170587301,0,226025.3709,458916.946
43.51460266,0,0,0,0,0,0,11,4.19357729,1.223166704,0.101190478,0.095238097,-1.193230271,1.562999964,2.718158007,0.364984214,0.121873386,0.086596094,1.852318168,2.222967386,-8.549292564,2.238703489,0,221910.5601,503894.3739
0,0,0,1712.356079,0,3147.355957,0.671071947,91,0.551797032,0.551797032,0.569196403,0,0.58139962,0.849749982,0.393140286,0.50096947,0.099320211,0.17160295,1.545779943,2.765985012,-7.967682362,2.687278271,0,206373.6367,597744.5712
87.45465088,0,0,0,0,0,0.990632296,1,0.172300622,0.172300622,0.125,0,0.639050663,0.202500001,0.291700602,0.764018357,0.015511426,0.113144957,0.459671885,2.3568573,-7.263642311,2.448338985,0,248124.6328,561029.8267
42.95399857,0,0,42.95399857,60.95999908,0,0.998835862,6,7.836293221,1.205685258,0,0,-3,0.191,0,0.599657953,0.079042085,0.145193458,1.815044165,2.264677525,-9.762882233,2.226325989,0,200715.7162,449214.5874
43.20199966,0,0,0,0,410,0.656950653,119,0.37489742,0.37489742,0.33006537,0,-1.243662834,0.126000002,0.54188329,0.372428715,0.040879697,0.219415531,0.585709453,2.584676743,-3.827768564,3.579981565,0,211666.0785,593970.5369
0,0,0,207.1239929,0,3649.050537,0.596443236,97,0.817886829,0.584874034,0.069491528,0,2.444716215,0.223250002,0.291501611,0.482307732,0.187708542,0.198778793,1.685267925,2.229430914,-7.251180649,2.659274817,0,207511.2718,596707.7142
0,0,0,0,0,0,0.997587442,0,4.502000809,0.135629594,0,0,-2,0.13425,0.024499999,0.739517212,0.021920236,0.038311634,0.746469915,2.266927004,-7.936616421,2.180258751,0,227858.8981,499276.3546
476.7998047,1328,0,291.2799988,61.57494354,2949.70874,0.749178529,86,0.947067142,0.900380492,0.288209617,0,-1.063184738,0.165000007,0.476940095,0.373796999,0.107543446,0.172740504,1.49783361,2.346148491,-3.115991116,3.600914478,0,194799.5129,530534.0568
0,0,0,0,0,4961,0.454697043,121,0.213654503,0.213654503,0.365953118,0.029561672,-1.360239267,0.27700001,0.663280606,0.368832886,0.036383621,0.234331772,0.721701145,3.547025919,-0.957381189,4.042254448,0,212844.6169,597804.1505
945.9524536,1992.016968,0,815.2183838,0,655.1505737,0.998829067,4,5.30043745,0.708509147,0,0,-3,0.125,0,0.471505165,0.072466813,0.130084872,3.450809717,2.704893827,-8.782532692,1.868791938,0,192314.2081,534387.6403
296.3441162,0,0,334.8681641,0,2419.427979,0.662596405,27,1.057938218,0.961978555,0,0,1.033268332,0.145999998,0.026288394,0.516889274,0.068532959,0.087004304,1.531623125,3.509486198,-9.488571167,3.029995441,0,226277.064,439756.8256
0,0,0,0,0,0,0.999380827,2,3.623380423,0.593678653,0,0,-3,0.123999998,0,0.718707204,0.03083335,0.096206568,0.897268116,2.59653306,-9.804797173,2.341531277,0,221332.3664,504375.417
210.344101,0,0,210.344101,0,3403,0.994164824,0,7.285752296,0.167523816,0,0,-0.191539854,0.143749997,0.016439281,0.67133075,0.040447235,0.101541981,0.759499431,2.557515621,-7.259969234,2.036633492,0,241149.2528,577084.7035
213.4900818,0,644,213.4900818,0,1066,0.609808087,50,3.582866907,0.895378232,0.051912569,0,10.55458927,0.176249996,0.271595955,0.351159841,0.081522584,0.146006867,1.693104506,1.93408215,-5.413492203,2.196763992,0,194563.5901,531423.5622
388.039917,0,0,1164.325195,0,2266.941162,0.969092071,58,0.735919774,0.735919774,0.104166664,0,3.051386833,0.175249994,0.427128494,0.628836036,0.035304558,0.059640951,1.297237873,2.119553328,-8.551682472,2.215744495,0,203703.2068,507575.584
0,0,0,0,0,0,0,0,0.040019386,0.040019386,0,0,-2,0.033,0.066,-0.137875974,0.007759857,0.064142697,0.980676889,3.834030628,-12.96415138,3.404764175,0,199877.8553,522001.7547
42.27199936,0,0,1548.978027,0,2162.706055,0.182217345,71,0.966553092,0.902527273,0.172554344,0.009510869,1.098931909,0.202749997,0.509773076,0.472675741,0.145765647,0.182930559,1.536691666,2.234627008,-8.720769882,2.154480696,0,189883.2238,514138.6931
0,0,0,0,91.44000244,0,0.978625953,23,0.504185975,0.504185975,0.071428575,0,1.66872406,0.1175,0.319727272,0.667513549,0.05248129,0.081881255,0.354707301,2.597011089,-8.140789986,2.177528381,0,231196.1433,574235.08
43.69465256,0,0,0,30.47999954,0,0.699717879,27,5.025963306,1.485363007,0.475167781,0.072483219,3.723259926,0.796999991,0.800745308,0.661423922,0.134076968,0.156229794,1.409172416,1.877496004,-6.898087978,2.177505016,0,169409.7222,440065.3597
126.220047,0,0,126.220047,0,0,0.01484375,64,1.375968337,1.099462628,0.300335556,0.162751675,0.533045948,0.50849998,1.054020524,0.594027817,0.145785138,0.182342291,2.097635508,2.646088362,-5.729501724,2.565343857,0,227026.8482,548742.7048
0,0,0,0,0,2664.575195,0.715613365,75,3.506681204,0.639138877,0.697167754,0.002178649,-0.92278707,0.524999976,0.53266865,0.353606224,0.09172938,0.164260879,2.126422405,2.415481806,-10.23563766,2.202339649,0,193908.0165,532805.3825
43.20199966,0,0,0,0,0,0.98617512,30,0.980198383,0.980198383,0,0,-0.422807336,0.137250006,0.10320244,0.657269835,0.052810185,0.075663663,0.850167215,2.46343565,-7.785562992,2.21515727,0,267417.8094,577237.2215
0,0,0,0,0,0,0.997802198,3,0.559767306,0.559767306,0,0,-1.5,0.118500002,0.029488228,0.640296698,0.039534781,0.083929226,1.063565731,2.390350342,-6.792766094,2.98854351,0,248018.3566,564598.7086
0,0,0,0,0,0,0.56780225,0,5.02107811,1.381953239,0.166924268,0.11746522,-0.775243044,2.111500025,3.073886395,0.741781175,0.033993486,0.083300568,2.28357625,2.2605865,-5.899276733,2.055564642,0,261383.1845,574181.1929
131.9158478,0,0,0,0,4715,0.59405458,0,0.091023766,0.091023766,0,0,1.182837486,0.103,0.054752965,0.626592577,0.05455073,0.079429127,0.851309001,2.103300333,-7.646410942,2.241245985,0,216972.185,526981.5754
429.3280029,7636,0,429.3280029,0,1557.575317,0.727226973,20,4.326919556,1.378056765,0.350553513,0.001845018,-1.197638154,0.154249996,0.592730105,0.376180679,0.081139594,0.197870344,2.398815155,2.547547579,-7.159087658,2.520740032,0,198799.7453,525389.1894
0,0,0,0,0,0,0.959841609,10,5.276993752,1.695730686,0.126760557,0.014084507,2.398725748,0.116499998,0.475553721,0.761562943,0.029358607,0.10547819,1.331691742,2.612689734,-5.917942047,2.74320817,0,203387.9862,487252.0017
43.20199966,0,0,0,0,0,0.997302771,3,1.052882671,0.913174212,0,0,-1.7158674,0.106250003,0.020029666,0.664238214,0.025355671,0.092404887,0.678220749,2.397984266,-8.515936852,2.757913351,0,245227.6208,580089.4767
175.0399933,0,0,0,30.47999954,40.91407013,0.96593672,34,1.493073344,1.404450655,0.035714287,0,12.03646183,0.169750005,0.195423782,0.554856837,0.045769963,0.110161006,1.358543038,2.408084869,-8.46674633,1.852108598,0,265140.5697,521075.8845
0,0,0,0,0,0,0.749573112,19,5.732347488,1.155016541,0.015909091,0,-0.635459244,7.133999825,5.051851273,0.618382394,0.184071794,0.146386951,3.054265738,2.550696373,-2.927048922,1.847781062,0,197116.6208,443634.1701
0,0,0,0,0,0,0.873554885,1,4.559351444,1.984139919,0.188571423,0.239999995,-0.648596466,2.095999956,1.627943993,0.605031073,0.034893136,0.118138105,1.947641969,2.472532034,-8.500971794,2.394501209,0,181354.9755,447000.3148
42.27604675,0,0,124.4119492,0,4387.135742,0.972303212,0,0.12763001,0.12763001,0,0,-1.002040505,0.158250004,0.052167214,0.362147659,0.048491091,0.040122822,0.74633944,3.075216055,-7.002954006,2.732218981,0,269299.9315,559604.1411
0,0,0,0,0,0,0.909930706,18,0.674231768,0.674231768,0.243589744,0,0.131682187,0.474999994,0.372347623,0.637321293,0.055227548,0.10076794,0.688113034,2.782040119,-7.752771854,2.419043064,0,198319.1319,531345.9075
218.9798584,3986,0,0,60.82747269,2497.55249,0.727272749,78,1.308990002,1.143170357,0.763239861,0,0.035731867,1.031999946,0.448459893,0.456582814,0.100097232,0.157833487,1.798983932,3.17617321,-0.653642416,3.659942627,0,194851.1117,530584.0996
0,0,0,0,0,287,0,28,1.151541114,1.012461543,0.148148149,0,1.873325229,0.0405,0.457794875,-0.030757846,0.139674976,0.070835546,1.228155136,2.665552616,-13.17456818,3.197058201,0,194784.0141,534397.7641
86.89665222,0,0,0,0,0,0.669158876,6,0.567671537,0.567671537,0,0,0.781382442,0.143000007,0.201956853,0.554577887,0.030172408,0.102912165,0.636704922,2.689506769,-8.446171761,1.873841763,0,218831.6124,519256.2883
0,0,0,0,30.47999954,0,0.986518145,7,6.905091763,1.525821567,0.681818187,0.090909094,-0.673361957,1.087000012,0.567913711,0.462031364,0.084974319,0.175686687,1.993548632,2.209177732,-7.615735054,2.304103136,0,161530.0503,475527.0753
214.769989,0,0,214.769989,0,0,0.648803353,2,6.805432796,0.768796325,0,0.02074074,-0.891831458,4.174499989,2.873858929,0.755763054,0.026623216,0.035893455,1.463254094,2.105023384,-6.44188118,2.322770119,0,235488.3868,542582.2577
0,0,0,0,0,0,0.957735837,3,1.677794933,0.588961601,0,0,0.541543365,0.128000006,0.044363178,0.686985791,0.035156619,0.077229187,0.591772318,2.619949341,-7.870989323,2.520903587,0,206015.812,522945.0491
0,0,0,0,0,0,0.248780489,5,10.16176224,0.744967759,0.09150327,0.045751635,-1.531390667,1.177000046,7.688116074,0.431284666,0.096933529,0.153460875,2.657240391,2.508262873,-5.919987202,1.740814567,0,215433.0857,456678.5231
174.895813,0,0,0,0,3362,0.999296248,3,0.350960851,0.350960851,0,0,-3,0.097999997,0,0.539492369,0.083843865,0.062400941,0.428117722,2.367823601,-7.653613567,2.441871643,0,249483.8084,547955.1049
175.6159973,0,0,0,0,246,0.998831749,2,0.323866695,0.323866695,0,0,-3,0.126000002,0,0.61390692,0.099297129,0.044339415,0.794112086,2.755312681,-8.154107094,2.426158428,0,237160.4769,533419.6994
0,0,0,0,58.67455292,0,0.458836436,16,4.245924473,1.393545508,0,0.015730336,-0.861385703,4.888999939,3.867166519,0.58942008,0.084236152,0.073476627,1.663092613,2.160639763,-7.436820984,1.878725767,0,230844.0364,552859.5507
0,0,0,0,0,1230,0,31,0.858736455,0.741822839,0,0,-0.641529739,0.050999999,0.027462777,0.381960452,0.162913859,0.164969668,1.846465468,3.761337042,-12.15494537,3.128489733,0,202444.7951,520846.868
0,0,0,0,0,0,0.997902095,7,0.308795273,0.308795273,0,0,-1.5,0.150999993,0.056840908,0.697118759,0.06357497,0.058080047,0.764760911,2.631924152,-7.220076561,2.361667633,0,235425.7788,552039.7792
172.8079987,0,0,0,0,0,0.98778832,24,0.671083748,0.671083748,0,0,-0.421012044,0.128000006,0.039024524,0.621845007,0.057491314,0.069350354,0.504147351,2.028056145,-7.806513786,2.331647873,0,247492.7312,561949.707
0,0,0,0,61.92694473,0,0.547413766,9,3.964101791,1.042516232,0,0,-0.366602302,0.187000006,0.068240695,0.691611707,0.056480806,0.09819027,1.840429306,2.437587261,-8.603888512,2.292339325,0,202300.0183,530618.8498
2312.966064,332,0,2560.414551,0,657.4486084,0.217221975,13,6.448281288,0.947479963,0.013266998,0.027639579,-0.59884876,7.282000065,4.681416035,0.593224406,0.077094994,0.128454611,2.32537365,2.092306852,-5.280529976,1.918280602,0,195565.9357,529127.0369
0,0,0,0,0,2334.451904,0.209469691,59,0.957359135,0.957359135,0.241015807,0.206995681,-0.903331697,0.347000003,1.236011028,0.628588438,0.08275874,0.15023531,1.134608269,2.270190954,-6.058299541,2.391001225,0,199137.0391,527894.2639
43.46959305,0,0,0,0,0,0.720279694,3,5.47551012,0.906402647,0.059374999,0.021875,0.295076907,5.939499855,2.684705019,0.674495459,0.059029162,0.059866734,1.300584435,1.852129102,-6.47947979,1.994995594,0,243267.6149,554073.7628
0,0,0,0,0,0,0.484866828,3,5.679515362,1.980083108,0.224441826,0.198589891,-0.319325566,1.014000058,1.682199359,0.731917083,0.030336667,0.066929214,2.275775194,2.451313972,-4.783329964,2.031199217,0,213230.0635,531991.9875
389.3106384,0,0,0,0,0,0.895962715,16,4.27306366,0.765292227,0.044776119,0,6.585790157,0.207249999,0.209614813,0.706290722,0.085672386,0.045968354,1.011568308,2.569693804,-7.750389576,2.233882427,0,205163.9689,515509.9938
0,0,0,0,0,0,0.917500019,28,6.35095787,0.978726625,0,0,0.467987359,0.189250007,0.228176028,0.594465196,0.185541749,0.079308234,2.608201981,2.299430132,-10.59975529,1.634695292,0,275928.6612,578080.0511
42.27199936,0,0,42.27199936,0,0,0.951456308,0,0.107441746,0.107441746,0,0,-0.572277844,0.076750003,0.016125368,0.679957151,0.040311933,0.087213546,0.44321546,2.944823265,-5.308938503,2.680288076,0,225639.5164,515585.5242
0,0,0,82.64207458,0,4879.64209,0.728491604,34,2.952411175,1.302889466,0.261316866,0.355967075,-0.588085115,1.555500031,1.022221923,0.642032444,0.026356658,0.108513214,0.940581858,2.061631203,-4.363899708,2.782460213,0,213059.9734,595068.7552
1850.625366,2324,0,1885.887939,0,166.15802,0.254392385,1,4.901622295,1.201797605,0.162984788,0.145311728,-1.088457346,1.559000015,2.849418402,0.671890318,0.0473768,0.118818238,2.487844467,2.413440943,-6.467488289,2.130948544,0,199069.864,518925.3669
0,0,0,0,0,3525.150635,0.771091819,110,0.415464759,0.415464759,0.216802165,0,-0.844326615,0.169,0.423748851,0.32799691,0.045986839,0.195247918,1.034034133,2.249778271,-9.6603899,2.435059547,0,190795.0722,531777.2111
0,0,0,0,3600,0,0.997890294,1,0.200232431,0.200232431,0,0,-1.5,0.123000003,0.006798693,0.524829984,0.048581608,0.175477013,0.571076155,3.027749777,-6.711310387,2.706973791,0,267660.9177,587567.6146
0,0,0,0,3630,0,0.987678349,0,0.193589836,0.193589836,0,0,-0.501161635,0.134499997,0.028484238,0.438531458,0.047136769,0.160431564,0.491564631,3.452941656,-8.41973877,2.330830097,0,272448.4007,585125.1544
0,0,0,0,0,4961,0.861601114,9,0.381547779,0.381547779,0,0,17.83691216,0.167250007,0.118302673,0.478365839,0.022885578,0.061482292,0.481441587,2.0875144,-9.11077404,1.845127344,0,228191.5768,578766.7153
85.963974,0,0,42.26931763,0,0,0.63550818,31,9.93884182,1.031580806,0.332185894,0.099827886,-1.025534868,0.333999991,0.696930885,0.387544036,0.142945766,0.098008633,1.969399691,2.539320946,-5.781422138,2.089190722,0,263087.2401,590102.5648
218.7999878,0,0,0,0,0,0.716283739,7,3.938269615,1.04444325,0,0,1.094038486,0.120750003,0.071955539,0.651232719,0.064983733,0.049681399,1.386508226,2.674033403,-7.039462566,2.153046131,0,215602.2784,542480.8997
43.20091629,0,0,0,0,40.23308563,0.996796608,8,3.10993886,0.60044241,0,0,-0.661411643,0.129999995,0.021671794,0.741774321,0.02827071,0.08790347,1.414539337,2.693539381,-6.823719501,3.207251072,0,220645.9592,535537.5176
168.5640564,0,0,919.1950684,61.00347137,1898.630981,0.998566329,53,0.83026588,0.83026588,0,0,-2,0.199249998,0.0005,0.752561748,0.144375861,0.122543737,0.97258395,2.702075243,-10.41710472,1.986284018,0,195178.2302,527717.2599
389.6239929,0,0,42.89199829,0,0,0.804878056,8,8.049634933,1.492848516,0.091954023,0.045977011,6.093031406,0.222499996,0.679461956,0.567949891,0.117841691,0.05058711,2.322424412,2.091310263,-7.521543503,1.902314782,0,226512.5929,495931.5817
0,0,0,0,177.0242004,1024.150635,0.959971428,13,0.314940304,0.314940304,0,0,6.145119667,0.196999997,0.094769657,0.535340726,0.039496031,0.05740831,1.153276801,2.129806995,-6.832942009,2.245938778,0,209555.5797,538704.0297
0,0,0,0,0,2992.150635,0.184210524,93,0.45187214,0.45187214,0.227649003,0.104304634,0.294142574,0.331750005,0.695172369,0.307207167,0.121948965,0.228459328,1.758707285,2.835233688,-1.556297421,3.086863279,0,211878.5628,593918.0316
211.6699982,0,0,211.6699982,243.8399963,0,0.998699605,4,0.377549559,0.377549559,0,0,-2,0.062249999,0.0005,0.662721038,0.117169447,0.070361763,0.613167286,2.653661013,-9.02014637,1.997170568,0,221520.3758,503939.0098
42.36197662,0,0,124.9021225,0,4182.540039,0.996453881,8,4.838650703,1.006465673,0,0,-1.496866703,0.144999996,0.038080968,0.533800066,0.039372034,0.120568775,1.943561077,2.596824169,-8.661325455,2.360918045,0,203947.1382,522379.6654
172.8079987,0,0,0,59.38706207,0,0.630136967,31,7.285778522,1.050338507,0.061007958,0.01591512,-1.120043874,3.653000116,4.468547821,0.558908999,0.079184122,0.124611862,2.195312023,2.591398716,-9.417320251,2.195224524,0,254585.148,594600.6533
0,332,0,0,58.76800156,4260.623047,0.910273075,81,3.63850379,0.771914542,0.318840593,0.014492754,-0.769366443,0.123999998,0.633456111,0.562276006,0.030800572,0.129505813,0.871175468,2.105975628,-8.527089119,2.518579721,0,197992.8046,464761.0661
42.76691437,0,0,84.54356384,0,41.77665329,0.817432284,1,1.914224625,0.616254151,0,0,22.42876244,0.113499999,0.102934137,0.537745297,0.065584674,0.023240797,1.575695634,3.142440557,-6.698432922,2.467270374,0,221398.0547,533918.8733
0,0,0,0,0,0,0.973849356,2,2.170278788,0.939216018,0,0,8.34262085,0.090999998,0.088692278,0.74433428,0.012265027,0.030081129,0.942991793,2.469551086,-8.742918968,2.18703723,0,215670.1406,535727.4741
130.473999,0,0,42.95399857,0,0,0.998661339,0,3.877186298,0.027153885,0,0,-3,0.182999998,0,0.529671192,0.060571123,0.089101754,1.817156315,2.565261602,-6.71990633,2.679278374,0,214654.1925,518617.4987
